Item,Instruction_1,Instruction_2,Instruction_3,Category
acid,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
acrylic paints,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
adhesives (all types),"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
aerosol cans (not empty),"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
Ajax powder cleanser,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
alcohol,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
algaecide,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
alkaline-manganese battery/batteries,"Batteries are Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).","For safe storage, place used batteries back in packaging or cover the positive terminal with tape or place in a clear plastic bag (wrap many batteries together).","Take batteries to a City Drop-Off Depot or Community Environment Day. For HHW from 10-50 L/kg, you can request a free pickup online or by calling 311.",HHW
alkyd paints,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
"car battery/car batteries, automobile battery/automobile batteries","This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
automotive grease,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.","Bring this item to a City Drop-Off Depot or Community Environment Day in any container that has a lid, is securely closed and can be left behind.","For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
acetone,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
baby oil,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
barbecue/BBQ propane tanks/cylinders,"This item is Household Hazardous Waste (HHW), even if empty, and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
base (chemical compound),"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
black Styrofoam/black foam,Place in Garbage Bin.,,,Garbage Bin
bear spray,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
bleach,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
block fillers,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
blueprint ink,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
butane gas tanks,"This item is Household Hazardous Waste (HHW), even if empty, and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
button cell battery/batteries,"Batteries are Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).","For safe storage, place used batteries back in packaging or cover the positive terminal with tape or place in a clear plastic bag (wrap many batteries together).","Take batteries to a City Drop-Off Depot or Community Environment Day. For HHW from 10-50 L/kg, you can request a free pickup online or by calling 311.",HHW
C battery/batteries,"Batteries are Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).","For safe storage, place used batteries back in packaging or cover the positive terminal with tape or place in a clear plastic bag (wrap many batteries together).","Take batteries to a City Drop-Off Depot or Community Environment Day. For HHW from 10-50 L/kg, you can request a free pickup online or by calling 311.",HHW
camping stove fuel,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
air conditioner (wall),Consider donating reusable items to non-profit organizations.,"Alternatively, place item at the curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.",,Oversized Item
car wax,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
carpet cleaner,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
laptop charging cables/laptop chargers,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
caustic chemicals,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
cell phone battery pack,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
canvas,Consider donating reusable items to non-profit organizations or bringing to a Community Environment Day.,"Alternatively, place this item in the Garbage Bin.",,Garbage Bin
chemicals,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
air conditioner (window),Consider donating reusable items to non-profit organizations.,"Alternatively, place item at the curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.",,Oversized Item
chlorine,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
chlorine puck,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
citronella oil,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
cleaners,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
Clorox bleach,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
felting needles,Consider donating reusable items to non-profit organizations or bringing to a Community Environment Day.,"Wrap sharp edges with thick or multi-layered material (e.g. paper, plastic, fabric) before placing this item in the Garbage Bin.",,Garbage Bin
coal,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
coal oil,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
camping stove fuel canisters,"This item is Household Hazardous Waste (HHW), even if empty, and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
cologne,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
compact fluorescent lights (CFL),These contain mercury and MUST be disposed of as Household Hazardous Waste (HHW).,Take these to one of the City's Drop-Off Depots or Community Environment Days or a retailer that accepts lighting.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
fluorescent light tubes,These contain mercury and MUST be disposed of as Household Hazardous Waste (HHW). Place in original box or bundle/tape together in groups of 8.,Take these to one of the City's Drop-Off Depots or Community Environment Days or a retailer that accepts lighting.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
compressed gas tanks (residential),"This item is Household Hazardous Waste (HHW), even if empty, and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
concrete paints,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
coolant filters,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
D battery/batteries,"Batteries are Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).","For safe storage, place used batteries back in packaging or cover the positive terminal with tape or place in a clear plastic bag (wrap many batteries together).","Take batteries to a City Drop-Off Depot or Community Environment Day. For HHW from 10-50 L/kg, you can request a free pickup online or by calling 311.",HHW
deck coatings,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
degreasers,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
denatured alcohol,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
Diazinon,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
diesel,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
diesel fuel filters,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
drain cleaners,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
Draino,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
driveway sealers,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
drywall paints,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
firecrackers (used/unused),Completely submerge fireworks in water and soak them overnight.,Wrap the soaked fireworks in a plastic bag (to keep them from drying out) and dispose in the Garbage Bin.,Dispose of fireworks in small quantities (up to 10 items).,Garbage Bin
e-cigarettes,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
Easy-Off oven cleaner,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
eau de toilette,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
electronic cigarettes,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
acetylene cylinders,"This item is Household Hazardous Waste (HHW), even if empty, and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
epoxy,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
ethylene glycol,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
fertilizers,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
fire extinguishers,"This item is Household Hazardous Waste (HHW), even if empty, and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Ensure it has pin to lock handle and take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
flea powder,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
floor paints,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
fondue fuel,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
foundation sealers,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
fuels,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
garden chemicals,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
gas/gasoline,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.","Bring this item to a City Drop-Off Depot or Community Environment Day in any container that has a lid, is securely closed and can be left behind.","For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
truck battery/batteries,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
gel ice packs,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
gel packs,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
glue,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
plastic hand sanitizer bottles (empty),"If container is not empty, check if the contents are Household Hazardous Waste and dispose of properly.",Place any black and/or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid, pump or sprayer on, in the Blue Bin (recycling).",Blue Bin
"iPhone, Android phone, iPad","Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
hair dye/colour,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
hand sanitizer,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
hearing aid battery/batteries,"Batteries are Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).","For safe storage, place used batteries back in packaging or cover the positive terminal with tape or place in a clear plastic bag (wrap many batteries together).","Take batteries to a City Drop-Off Depot or Community Environment Day. For HHW from 10-50 L/kg, you can request a free pickup online or by calling 311.",HHW
helium tanks/cylinders,"This item is Household Hazardous Waste (HHW), even if empty, and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
